userName,score,content,at,sentiment
Rian Handoko,5,nice udah banyak perubahan dan bug nya udah banyak diperbaiki,2025-10-05 07:41:23,positif
pramana divayasa,5,bagus aj,2025-10-05 05:20:31,positif
naufal hanif,4,"with the same account again, hello admin, I'm from Indonesia, I really want there to be an airport from Indonesia, can you add it?",2025-10-05 05:15:32,positif
Dian Almajid,4,menurut saya game ini sudah bagus dan banyak maskapai-maskapai di seluruh dunia tapi saya kurang puas dengan bandara yang tersedia tolong tambah kan bandara yang tersedia dan untuk fitur tolong tambahkan seperti pendaratan darurat seperti dunia nyata terimakasih mohon di baca untuk defoloper game🙏,2025-10-05 04:47:20,positif
Rony Sutowo,5,nice game but no gift,2025-10-04 17:32:44,positif
My trip My adventure,3,"(revisi) kenapa akhir akhir ini game seri nge-bug seperti force close sendiri,lalu truk/mobil push back jaraknya jauh sekali dari roda depan pesawat, iklan sering buat game jadi crash,dan, setiap take off dan landing searah tidak seperti didunia nyata,sekian terima gaji",2025-10-04 13:17:40,netral
Buyung YT,5,Saya buka bandara LPJ luxemburg.. kenapa tidak ada pesawat cargo e/f Cargolux... sangat mengecewakan,2025-10-04 02:50:11,positif
Delvin Nataniel,3,game nya bagus cuma harus pake kouta tolong game ini jadi offline aja biar gak ada kouta enak mainya dan seru,2025-10-04 02:25:26,netral
Irfan Nadif,1,lumayan daripada kesel,2025-10-03 18:16:18,negatif
RIYAN,5,"Progres game ini lumayan lama. Tapi, saya mempunyai beberapa masukan nih... 1. Coba dong bikin waktu, kondisi hari itu sesuai dengan jam nyata, real time. Selain itu, untuk cuaca juga real time, ketika sedang bermain, cuaca dinamis bukan saat reload gamenya dulu baru berubah cuacanya. 2. Tambahkan detail kecil, seperti NPC penumpang memakai payung saat hujan, untuk petugas memakai jas hujan, ketika musim dingin, memakai winter jacket. 3. Tolong perbaiki, game suka Force close di versi 3.2.1 ini.",2025-10-03 16:19:17,positif
fan Yadi,5,pesawat Garuda Indonesia,2025-10-03 14:23:11,positif
Saenal Enall,5,tolong dong di perbaiki ini game ko setelah apdet geme ini bag sih atau error,2025-10-03 01:14:19,positif
Asrul Fahmi,5,ok,2025-10-02 21:13:03,positif
Saya Dafino,4,game nya sudah bagus dan santay. semoga ada update berikutnya selalu menunggu. dan kalo bisa tambahkan bandara lebih di asia seperti Indonesia👍💯,2025-10-02 11:48:03,positif
Rey Fadly,5,game yg membosankan kan dn buat mata lelah jadi tidur karna tidak ada intruksi sma player lain buat donk bisa chatingan dengan player lain,2025-10-02 11:12:33,positif
Edy1971 Edy,5,lumayan bagus,2025-10-02 02:00:09,positif
Anak Brengsek,5,game ini bagus tolong tambahkan mode offline terima kasih,2025-10-01 11:43:40,positif
Raka Andriansyah,4,gamenya sangat bagus cuman kurang di animasi pekerja nya aja yang hilang dan muncul,2025-10-01 00:08:01,positif
Arjun,3,"ɢᴀᴍᴇ ᴀᴍᴘᴀs!!!... ɢᴀᴍᴇ ɴʏᴀ sɪʜ ᴜᴅᴀʜ ʙᴀɢᴜs, ɢᴀᴍᴇ ɴʏᴀ ᴊᴜɢᴀ sᴇʀᴜ. ᴛᴀᴘɪ ɴɢᴇʙᴜɢ ᴍᴜʟᴜ!, ᴘᴀs ᴘᴀʀᴋɪʀ marshaller ɴɢᴇʙᴜɢ, ᴛᴇʀᴜs ʙɪᴋɪɴ ʜᴀᴘᴇ ʟᴀɴɢsᴜɴɢ ʙᴇʀʜᴇɴᴛɪ ᴛɪʙᴀ-ᴛɪʙᴀ, ᴛᴇʀᴜs ᴏʀᴀɴɢ ʏᴀɴɢ ʙᴀᴡᴀ ᴋᴏᴘᴇʀ ᴛᴜʜ ᴋᴏᴘᴇʀɴʏᴀ ɴɢᴇʙᴜɢ, ᴘᴀᴅᴀʜᴀʟ ᴘᴀs ᴀᴡᴀʟ ᴅᴏᴡɴʟᴏᴀᴅ ᴍᴀsɪʜ ɴᴏʀᴍᴀʟ, ɢɪʟɪʀᴀɴ ʙᴇsᴏᴋɴʏᴀ ʟᴀɴɢsᴜɴɢ ɴɢᴇʙᴜɢ ᴀᴊᴀ ᴛᴀɴᴘᴀ ᴘᴇʀᴍɪsɪ. masa iya sih harus uninstall terus download lagi kalau mau main",2025-09-30 14:25:07,netral
Naufal Dwi aryadi,5,bagus,2025-09-30 13:04:37,positif
Muh Husen,3,kalau saya sudah bagus cuma perbaiki lagi bandara london kasi sama dengan aslinya tambah akan bandara indonesia bandara sulawesi,2025-09-30 10:13:56,netral
devi susanti,5,Game ini bagus tapi harus tambahkan ini di update geme selanjutnya 1. Tambahkan detail penumpang pesawat yang dinaiki (contoh penumpang terlihat di jendela pesawat) 2.tambahkan bandara Soekarno-Hatta di Indonesia dan beserta maskapai Indonesia 3. Tambahkan beberapa jenis pesawat Fokker 4. Tambahkan jenis pesawat McDonnell Douglas,2025-09-29 07:22:50,positif
Rzky,3,Tolong perbaiki teknis saya gak bisa login kembali di bandara Lhr cuman stuck scene loding pesawat berjam-jam lagi terimakasih 🙏🏻,2025-09-29 04:28:01,netral
Muhammad Fadil,1,"kenapa saya tidak bisa login terus ada kata kata ""terjadi permasalahan""",2025-09-29 03:07:32,negatif
Nurul Habibi,4,"gamenya bagus game santai dan seru, saran kembangkan lagi lebih detail simulasinya dan tambahnkan animasi npcnya, oh ya keluhan saya untuk bandara INNsburck austria apron gabungan 101 tidak bisa membeli kelas apron D harusnya ada dua apron gabungang yang bisa ke kelas D",2025-09-28 17:06:16,positif
Clarissa Fadelya,1,banyak bug nya. udah 1 jam gamasuk masuk ke gamenya. padahal jaringan stabil,2025-09-28 14:05:16,negatif
Arief Vince Gill,5,secara keseluruhan game sudah baik tapi sedikit masukan untuk bug tolong dihilangkan suka menghalangi pesawat,2025-09-28 11:38:14,positif
Sarifah Rafie,5,game kerennnn,2025-09-28 07:24:19,positif
Kartina projet0977 Kartina projet,5,gua ngak peduli game nya jelek yg penting game,2025-09-27 12:39:34,positif
Ign Jaelpietro,5,This is the most favorite and coolest airport simulator,2025-09-27 03:23:15,positif
danang bayu,1,Bandara supatochito pontianak,2025-09-26 22:18:25,negatif
Renz,5,"Kapan Ya Nambah Bandara Jakarta CGK, Bandung BDO, Yogyakarta YIA, Surakarta SOC, Surabaya SUB, Malang MLG, Banyuwangi BWX & Denpasar DPS atau Juga Tambah Kan Boeing 737 - 200 & 500 & B737-900ER. Tambahkan Maskapai Penerbangan Indonesia Sriwijaya Air Com Group, Lion Air, Adam Air, Super Air Jet, Wings Air, Pelita Air, Trigana Air Service, BBN Airlines Indonesia. Terima Kasih Ya Game Nya Lumayan Bagus & Kurang Di Tambah Kan Yang Diatas Saya Sudah Menilai Bintang 5 Pada Developer ☺️❤️",2025-09-26 18:05:03,positif
paw paw,5,tolong berikan aku uang 90.000 di game ini 🙏🙏,2025-09-26 15:49:45,positif
Rahman Beril95,4,lumayan lah,2025-09-26 15:16:55,positif
MHD hanif Fatur haq,1,gamenya di punya ku GK bisa login,2025-09-26 13:54:14,negatif
Elvirza,5,maaf udah ngata ngatain game ini,2025-09-26 10:37:23,positif
Navis Athala,5,seru tambahkan lagi maskapai Indonesia lebih banyak thx,2025-09-26 05:59:22,positif
Celvin Irsa,2,mb nya kecilin banyak iklan walaupun game online jangan ada iklan oke,2025-09-25 10:55:53,negatif
Feifel Gianli Toto,5,"ini game asik asli, tapi cuman kurangnya gak ada mode offline, dan juga susah sekali untuk granding.",2025-09-25 05:14:44,positif
Putra Siboro,5,"I really love the game, but I want you to add more details on the next update. Could you please add more details of the animation when landing gear is going up during takeoff? Some of the aircraft I've noticed are the B737, A330 series, A380 lack of details and perhaps some other aircraft types. The landing gear just slides into the belly of the plane without any small animation that opens the landing gear cover. Thank you🙏🏻",2025-09-25 04:06:31,positif
infosumbarupdate 24,4,good,2025-09-24 13:51:57,positif
Lucky Haerro p,3,"Previously I really liked this game, but it is unfortunate that this game hasn't been compatible to play on Huawei devices so I beg for game developers to fix this game",2025-09-24 12:13:27,netral
Mohammad Ajisaka,5,developer aku mau komplain Napa kok npc di bandara gw jadi gede Ama gepeng,2025-09-23 22:02:10,positif
Farid gilang Handoko,5,guys masah tidak ada CL-12101? di game World of Airports tapi bagus 10/10,2025-09-23 10:59:00,positif
Kristina Laura,5,BISA BELAJAR LOH PENERBANGAN DI APLIKASI INI,2025-09-23 07:15:28,positif
